nombre_buscado,tier_sala,nivel,target,sp_num_albums,sp_num_singles,sp_num_eps,sp_num_total_releases,sp_anos_activo,sp_releases_por_ano,sp_dias_desde_ultimo_release,sp_ratio_albums_singles,sp_avg_duration_ms,sp_pct_explicit,sp_pct_colabs,lfm_oyentes,lfm_oyentes_log,lfm_scrobbles,lfm_scrobbles_log,lfm_scrobbles_por_oyente,lfm_num_generos,yt_suscriptores,yt_suscriptores_log,yt_vistas_totales,yt_vistas_log,yt_num_videos,yt_vistas_por_video,yt_vistas_por_suscriptor,yt_edad_canal_anos,sl_avg_canciones,sl_pct_encore,sl_num_paises,sl_num_conciertos,sl_pct_espana,trend_gtrends_interes_medio,trend_gtrends_log,trend_yt_vistas_recientes,trend_yt_vistas_recientes_log,trend_yt_videos_recientes,trend_yt_vistas_por_video_reciente
Delaossa,3,alto,3,3,7,0,10,7.0,1.43,424.0,0.375,246294.75,0.0,1.0,66792.0,11.109353563614675,2800276.0,14.845228898823752,41.92532039765241,5,122000.0,11.711784520403112,85774199.0,18.267228819938392,65.0,1319603.0615384616,703.0672049180328,4.670773442847365,0.0,0.0,2.0,31.0,0.967741935483871,26.19,3.3028492586443794,950227.0,13.76445723478133,5.0,190045.4
Bad Gyal,3,alto,3,5,5,0,10,10.0,1.0,74.0,0.8333333333333334,180745.4,0.6,0.6,448307.0,13.01323577517726,26065634.0,17.076128338059085,58.14237564882993,5,1560000.0,14.260197020251155,1479926926.0,21.115258549854868,66.0,22423135.242424242,948.6711064102564,10.193018480492814,23.19,0.02,17.0,100.0,0.59,24.28,3.2300135692786567,3521951.0,15.074525939325316,5.0,704390.2
Camin,2,medio,2,3,7,0,10,6.0,1.67,53.0,0.375,186421.2,0.4,1.0,18400.0,9.820160289946374,301400.0,12.616196883019061,16.380434782608695,0,316000.0,12.663500657121004,314692300.0,19.56710589716594,97.0,3244250.5154639175,995.8617088607594,8.71731690622861,,,,,,50.75,3.9464244321454784,716926.0,13.48272930128827,5.0,143385.2
Xiyo,2,medio,2,1,9,0,10,3.0,3.33,47.0,0.1,211562.25,0.875,1.0,22884.0,10.038236953087743,725548.0,13.494683888653524,31.705471071490997,0,21400.0,9.97119292889014,23441499.0,16.970018513799673,18.0,1302305.5,1095.3971495327103,3.7234770704996576,,,,,,,,658496.0,13.39771524434644,5.0,131699.2
Fernandezz,2,medio,2,0,0,0,0,,,,0.0,,,,37.0,3.6375861597263857,126.0,4.844187086458591,3.4054054054054053,0,21400.0,9.97119292889014,23441499.0,16.970018513799673,18.0,1302305.5,1095.3971495327103,3.7234770704996576,,,,,,6.66,2.0360119837525,658496.0,13.39771524434644,5.0,131699.2
8belial,2,medio,2,2,15,0,17,3.0,5.67,80.0,0.125,184890.6,0.2,0.8,38585.0,10.560644795362919,3131963.0,14.957170841773898,81.17048075677077,2,30400.0,10.322230781590136,25901252.0,17.06980190387795,21.0,1233392.9523809524,852.0148684210526,2.223134839151266,12.5,0.0,1.0,2.0,1.0,45.89,3.847804433101495,2342289.0,14.666639641263943,5.0,468457.8
Beny Jr,3,alto,3,9,1,0,10,6.0,1.67,140.0,4.5,181298.14285714287,0.2857142857142857,0.42857142857142855,152943.0,11.937827120303544,10935718.0,16.207544962103352,71.50191901558097,5,883000.0,13.691081612088286,538642970.0,20.104563517929442,170.0,3168488.0588235296,610.0146885617214,9.084188911704311,0.7,0.05,3.0,20.0,0.8,42.32,3.76861442213279,1827607.0,14.418518565987128,5.0,365521.4
Morad,3,alto,3,3,7,0,10,7.0,1.43,47.0,0.375,224664.0,1.0,1.0,204350.0,12.227594382545412,9140998.0,16.02828023723873,44.73206753119648,5,3650000.0,15.11023799953124,1354368.0,14.11884622117527,32.0,42324.0,0.3710597260273973,6.584531143052704,2.0,0.0,2.0,8.0,0.875,27.66,3.3555024224000256,19744.0,9.89065557372075,5.0,3948.8
SAIKO,3,alto,3,2,8,0,10,5.0,2.0,82.0,0.2222222222222222,237152.2,0.6,0.8,359900.0,12.79358427261286,9300000.0,16.04552506565036,25.840511253125868,3,605000.0,13.312985389904174,596809433.0,20.207108414369635,110.0,5425540.3,986.4618727272727,6.16290212183436,,,,,,30.62,3.453789831781326,60442.0,11.009456051157498,5.0,12088.4
Kristina,2,medio,2,0,8,0,8,4.0,2.0,87.0,0.0,220945.75,0.5,1.0,15690.0,9.660842578559068,256491.0,12.45485275402275,16.347418738049715,5,6100.0,8.716207971151853,1045547.0,13.860051707844292,32.0,32673.34375,171.4011475409836,11.427789185489392,,,,,,50.79,3.9471970804358,127509.0,11.755950071877587,5.0,25501.8
l0rna,2,medio,2,1,9,0,10,4.0,2.5,80.0,0.1,141819.0,0.5,0.5,15236.0,9.631481959469355,600255.0,13.30511150986861,39.397151483328955,0,31800.0,10.367253014814716,13785807.0,16.439150215158257,53.0,260109.56603773584,433.5159433962264,12.361396303901437,6.1,0.0,1.0,30.0,1.0,39.87,3.7103962975761857,731348.0,13.502646052979918,5.0,146269.6
Quevedo,3,alto,3,2,8,0,10,5.0,2.0,59.0,0.2222222222222222,213508.6,0.0,0.4,382298.0,12.853958303934288,23136074.0,16.95690364563662,60.518428032581916,5,2290000.0,14.64406281221155,1846846169.0,21.336745248284615,69.0,26765886.507246375,806.483043231441,5.90280629705681,7.527027027027027,0.0,16.0,74.0,0.6081081081081081,43.53,3.796163119333611,665910.0,13.408911306959123,5.0,133182.0
D.Valentino,2,medio,2,6,4,0,10,4.0,2.5,93.0,1.2,156181.0,0.4,0.6,12773.0,9.455167134121535,914123.0,13.72572150863036,71.56682063728177,2,14300.0,9.568084743872936,10825581.0,16.197422594841754,48.0,225532.9375,757.0336363636363,5.360711841204655,0.0,0.0,1.0,3.0,1.0,7.64,2.1564025828159643,2338187.0,14.664886828388747,5.0,467637.4
