nombre_canonico,spotify_id,spotify_nombre,spotify_score,lastfm_nombre,lastfm_mbid,lastfm_score,yt_channel_id,yt_nombre_canal,yt_score,sl_nombre,sl_mbid,sl_score,manual_override,notas
La Zowi,1jB62pOe5WpGiHOBDtKBBG,La Zowi,1.0,La Zowi,5d704b62-ecb2-4129-93c5-6e40f9189fa8,1.0,UC-eekYblsNBijsoSE4Im-Bw,La Zowi,1.0,La Zowi,5d704b62-ecb2-4129-93c5-6e40f9189fa8,1.0,True,
Albany,0W7oBn4W3biry1eehAk8wu,Albany,1.0,Albany,2a91e157-5aa5-491c-b5c1-fef4f12e674f,1.0,UCYX7US4vDAmsuip9huNumcw,Albany,1.0,Albany,2a91e157-5aa5-491c-b5c1-fef4f12e674f,1.0,True,
Soto Asa,6gyhsZUy2fzzWZBRVPmOw4,Soto Asa,1.0,Soto Asa,34a034a5-cc93-4c92-9c01-c0cfd27f823f,1.0,UCeNxK2Wuez1CU2O5Cwt9sWw,Soto Asa,1.0,Soto Asa,34a034a5-cc93-4c92-9c01-c0cfd27f823f,1.0,True,
Pedro LaDroga,1kL2dtCF73efjph3etoBAs,Pedro LaDroga,1.0,Pedro LaDroga,1e91d5a3-f747-4735-84da-31a736744f23,1.0,UCkOXIUA8MJGK0q8us9f_dsw,Pedro LaDroga,1.0,Pedro LaDroga,1e91d5a3-f747-4735-84da-31a736744f23,1.0,True,
Faxu,0LA5aboyOdxBzRiQGrnLdF,Faxu,1.0,Faxu,bb27ee23-c81b-4552-8b01-e25f12cbd9de,1.0,UC53P0otLEF_IO5XTDp5L5-g,Faxu,1.0,Faxu,bb27ee23-c81b-4552-8b01-e25f12cbd9de,1.0,True,
Funzo & Baby Loud,1nwjHzOUQZsNYX8xoWiGVC,Funzo & Baby Loud,1.0,Funzo & Baby Loud,50c30c51-5cd1-4ff2-9a82-e29666913f5a,1.0,UCLA33crvqYDEYWHzrrhjrFw,Funzo & Baby Loud - Topic,0.8,Funzo & Baby Loud,50c30c51-5cd1-4ff2-9a82-e29666913f5a,1.0,True,
Nico Miseria,79ff28apoBUFLfPJQoTfro,Nico Miseria,1.0,Nico Miseria,9da275a3-a687-4263-a984-7f4d95fd0e59,1.0,UCo4VSanP-4uW0IlTW_-_Jrw,Nico Miseria,1.0,Nico Miseria,9da275a3-a687-4263-a984-7f4d95fd0e59,1.0,True,
Allan Parrish,2yMVIdS7Fd5ndzQ7R86PIQ,Allan Parrish,1.0,Allan Parrish,430d8b35-4c7e-4e9b-8b83-654df1a6e7b3,1.0,UCSjl1yLngUwnqxXVbCXOJJw,ALLAN PARRISH,1.0,Allan Parrish,430d8b35-4c7e-4e9b-8b83-654df1a6e7b3,1.0,True,
Nickzzy,6ddcxDK0BEkhe5LCdoA5Ki,Nickzzy,1.0,Nickzzy,88ed2616-0bce-4414-97f6-64d6ba1efc5a,1.0,UCkyk7l8SHjlH-oHx_ZFPtdg,Nickzzy,1.0,Nickzzy,88ed2616-0bce-4414-97f6-64d6ba1efc5a,1.0,True,
vatocholo,5lgauAo4BLN9PodnIxhxi8,vatocholo,1.0,vatocholo,5a4276b7-018d-4595-b703-1a1f8b6fe603,1.0,UCJuTSe3FGwnM_EokZB5m44A,vatocholo,1.0,vatocholo,5a4276b7-018d-4595-b703-1a1f8b6fe603,1.0,True,
Ben Yart,1Emea6iLt1X27HTatnL7oV,Ben Yart,1.0,Ben Yart,c027bafd-fab1-4c37-8c4e-d6810d3717c9,1.0,UCMvslXJfog-LfgbQ1TWGi8A,BEN YART,1.0,Ben Yart,c027bafd-fab1-4c37-8c4e-d6810d3717c9,1.0,True,
Raul Clyde,2PAyYzUdafG4mFFp6Rynsk,Raul Clyde,1.0,Raul Clyde,70594c67-1873-45da-bd86-0774d143626a,1.0,UC1UZ3iKm7QvaYxWyG5J1KDA,RAUL CLYDE,1.0,Raul Clyde,70594c67-1873-45da-bd86-0774d143626a,1.0,True,
Enry-k,05trgdoIUvlwqNLEPHTdoI,Enry-K,1.0,Enry-K,aa89fc97-b39b-46e9-9e32-6cfbe1bca74c,1.0,UCltrhMHu-QZa-tg0wlMyKew,Enry -K,0.92,Enry-k,aa89fc97-b39b-46e9-9e32-6cfbe1bca74c,1.0,True,
